region,buildings_igm_area,buildings_osm_area,area_buildings_from_osm,osm_in_igm_buildings_area,streets_igm_km,streets_osm_km,length_osm_in_igm,length_streets_from_osm
Abruzzo,117867.19225411156,44398.72082405698,330.4851231520251,47795.42698830387,56224.27726005661,43849.62619760823,39557.27055985705,1.1541735856424968
Basilicata,52368.0644431905,20667.007064565543,8.415432033196707,20837.23455002519,46544.688942250184,31358.487398596575,29404.122715695506,167.7935942263434
Calabria,103275.99095718248,33555.635669140815,18.017346628425503,34032.423444012355,58671.93568749973,27046.850674932204,25291.78601450424,3.8331259950021646
Campania,312199.88637211674,144879.4486459227,83.93869810718051,147216.1492572145,92203.24336960592,60151.27902701743,54703.51921515253,31873.686934693826
Lazio,229187.08455011205,174616.28316365083,240.49181223871307,186168.9427812818,62743.592272015885,53113.28682547265,44976.856439226925,38.60743600521503
Marche,111698.28026292784,48542.403588176414,1486.5065710425959,48653.312345542116,43841.06084259916,39948.05510776396,34027.79224265512,1664.7800278009759
Molise,26778.195031067924,12267.506021865323,59.69477891760705,12452.475354852933,17007.67104254416,14855.614152848157,13812.103778676821,1593.49309487969
Puglia,272849.9313949085,290203.9064760698,153.15403494088483,311295.6669646934,109238.71775411909,84073.7642844102,75856.62919711598,607.5581421681276
Sardegna,119449.42817882205,95144.3689012748,1.047049385337219,98547.49537507718,112557.51650646236,67537.33673398403,62728.643028605984,707.4472733832162
Sicilia,331263.2014025259,141684.34200009028,711.5509066773717,143468.08595094728,142505.842003187,100172.97317070948,90578.90306391986,13906.169105726956
Toscana,251844.85706372498,244271.01895208345,1641.507468129639,246691.76955744895,124408.10453659875,104987.64670418478,91413.2157489004,8794.808808529942
Umbria,80320.51347802184,36598.12225593405,5.739929902487583,37202.79524190183,32264.907091253437,33387.899387003774,29944.259839888506,30678.783307414596
